中国,#genre#
HBO Hits,http://smt.iktv.ddns-ip.net/Smart.php?id=Hbohitshd
Cinemax,http://smt.iktv.ddns-ip.net/Smart.php?id=Cinemax
Dreamworks,http://smt.iktv.ddns-ip.net/Smart.php?id=Dreamworks
SCM,http://smt.iktv.ddns-ip.net/Smart.php?id=Weishimovie
Thrill,http://smt.iktv.ddns-ip.net/Smart.php?id=Thrill
Hits Movie,http://smt.iktv.ddns-ip.net/Smart.php?id=Hitsmovie
One,http://smt.iktv.ddns-ip.net/Smart.php?id=One
tvN Movie,http://smt.iktv.ddns-ip.net/Smart.php?id=Tvnmovie
Axn HD,http://smt.iktv.ddns-ip.net/Smart.php?id=Axn
Paramount Network,http://smt.iktv.ddns-ip.net/Smart.php?id=Paramountnetwork
Astrol Kplus,http://smt.iktv.ddns-ip.net/Smart.php?id=Kplus
Rock Actions,http://smt.iktv.ddns-ip.net/Smart.php?id=Rockaction
Rock Entertainment,http://smt.iktv.ddns-ip.net/Smart.php?id=Rockentertain

纪录频道,#genre#
Natgeo_HD,http://smt.iktv.ddns-ip.net/Smart.php?id=natgeohd_twn
NatGeo_Wild HD,http://smt.iktv.ddns-ip.net/Smart.php?id=natgeowild_twn
Animal_Planet,http://smt.iktv.ddns-ip.net/Smart.php?id=animalplanet_twn
Discovery Asia,http://smt.iktv.ddns-ip.net/Smart.php?id=discoverytwn_twn
CI,http://smt.iktv.ddns-ip.net/Smart.php?id=ci_twn
Asia Travel,http://smt.iktv.ddns-ip.net/Smart.php?id=asiatravel_twn
Discovery HD,http://smt.iktv.ddns-ip.net/Smart.php?id=discoveryhd_twn
亚洲美食,http://smt.iktv.ddns-ip.net/Smart.php?id=afc_twn
美食星球,http://smt.iktv.ddns-ip.net/Smart.php?id=foodplanet_twn
亚洲TLC,http://smt.iktv.ddns-ip.net/Smart.php?id=tlc_twn
NatGeo HD,http://smt.iktv.ddns-ip.net/Smart.php?id=Natgeo
Fashion TV,http://smt.iktv.ddns-ip.net/Smart.php?id=fashiontv_twn
History,http://smt.iktv.ddns-ip.net/Smart.php?id=History
BBC Earth HD,http://smt.iktv.ddns-ip.net/Smart.php?id=bbcearth_twn
BBC Earth Lifestyle,http://smt.iktv.ddns-ip.net/Smart.php?id=bbclifestyle_twn
MTV Live,http://smt.iktv.ddns-ip.net/Smart.php?id=mtvhd_twn
NatGeo Wild HD,http://smt.iktv.ddns-ip.net/Smart.php?id=Natgeowild
Animal Planet (Eng),http://smt.iktv.ddns-ip.net/Smart.php?id=AnimalPlanet
TLC,http://smt.iktv.ddns-ip.net/Smart.php?id=Tlc
Foodnetwork Hd,http://smt.iktv.ddns-ip.net/Smart.php?id=Foodnetwork
HGTV,http://smt.iktv.ddns-ip.net/Smart.php?id=HGTV
亚洲旅游台,http://smt.iktv.ddns-ip.net/Smart.php?id=asiatravel_twn

新闻频道,#genre#
Skynews,http://smt.iktv.ddns-ip.net/Smart.php?id=skynews_twn
ABC News,http://smt.iktv.ddns-ip.net/Smart.php?id=abcnews_glo
东森财经新闻,http://smt.iktv.ddns-ip.net/Smart.php?id=ettvcaijing_twn
CBS HD,http://smt.iktv.ddns-ip.net/Smart.php?id=cbshd_glo
CBSN HD,http://smt.iktv.ddns-ip.net/Smart.php?id=cbsn_glo
France 24,http://smt.iktv.ddns-ip.net/Smart.php?id=france24_twn
DW (Deutsch),http://smt.iktv.ddns-ip.net/Smart.php?id=dw_twn
NHK World,http://smt.iktv.ddns-ip.net/Smart.php?id=nhkworld_japan
Fox News,http://smt.iktv.ddns-ip.net/Smart.php?id=foxnews_twn
CGTN,http://smt.iktv.ddns-ip.net/Smart.php?id=CGTN
CNN International,http://smt.iktv.ddns-ip.net/Smart.php?id=Cnn
CNN backup,http://smt.iktv.ddns-ip.net/Smart.php?id=cnn_twn
CNBC,http://smt.iktv.ddns-ip.net/Smart.php?id=cnbc_twn
CNA,http://smt.iktv.ddns-ip.net/Smart.php?id=cna
BBC World News,http://smt.iktv.ddns-ip.net/Smart.php?id=bbcnews_twn
BBC World News,http://smt.iktv.ddns-ip.net/Smart.php?id=Bbcnews
Bloomberg News,http://smt.iktv.ddns-ip.net/Smart.php?id=bloomberg_twn
Al-Jazeera,http://smt.iktv.ddns-ip.net/Smart.php?id=aljazeera_twn

儿童频道,#genre#
Baby TV Eng,http://smt.iktv.ddns-ip.net/Smart.php?id=Babytv
CBeebies,http://smt.iktv.ddns-ip.net/Smart.php?id=Cbeebies
Kids TV,http://smt.iktv.ddns-ip.net/Smart.php?id=KidsTV
Momo TV,http://smt.iktv.ddns-ip.net/Smart.php?id=momo1_twn
Animax,http://smt.iktv.ddns-ip.net/Smart.php?id=Animax
Baby TV,http://smt.iktv.ddns-ip.net/Smart.php?id=babytv_twn
MiaoMi,http://smt.iktv.ddns-ip.net/Smart.php?id=MiaoMi
靖天卡通,http://smt.iktv.ddns-ip.net/Smart.php?id=jingtiancartoon_twn
东森幼幼,http://smt.iktv.ddns-ip.net/Smart.php?id=yoyo_twn
Cartoon Network,http://smt.iktv.ddns-ip.net/Smart.php?id=Cn
Nickelodeon,http://smt.iktv.ddns-ip.net/Smart.php?id=Nickelodeon
Nick Jr,http://smt.iktv.ddns-ip.net/Smart.php?id=Nickjr

体育频道,#genre#
Premier League 1,http://smt.iktv.ddns-ip.net/Smart.php?id=go_assp1
EPL 1 backup,http://smt.iktv.ddns-ip.net/Smart.php?id=go_assp1x
Premier League 2,http://smt.iktv.ddns-ip.net/Smart.php?id=go_assp2
Grandstand,http://smt.iktv.ddns-ip.net/Smart.php?id=go_assp3
Football,http://smt.iktv.ddns-ip.net/Smart.php?id=go_assp4
Sports Plus,http://smt.iktv.ddns-ip.net/Smart.php?id=go_sportsplus
Badminton 1,http://smt.iktv.ddns-ip.net/Smart.php?id=go_badminton1
Badminton 2,http://smt.iktv.ddns-ip.net/Smart.php?id=go_badminton2
W-Sports,http://smt.iktv.ddns-ip.net/Smart.php?id=go_assp5
Supersports 1,http://smt.iktv.ddns-ip.net/Smart.php?id=Assp1
Supersports 2,http://smt.iktv.ddns-ip.net/Smart.php?id=Assp2
Supersports 3,http://smt.iktv.ddns-ip.net/Smart.php?id=Assp3
Supersports 4,http://smt.iktv.ddns-ip.net/Smart.php?id=Assp4
WWE,http://smt.iktv.ddns-ip.net/Smart.php?id=Wwe
Fight Sports,http://smt.iktv.ddns-ip.net/Smart.php?id=Fs
NBA TV,http://smt.iktv.ddns-ip.net/Smart.php?id=Nba
Cricket,http://smt.iktv.ddns-ip.net/Smart.php?id=Acricket
Golf,http://smt.iktv.ddns-ip.net/Smart.php?id=Agolf
Tnt Sports 1,http://smt.iktv.ddns-ip.net/Smart.php?id=6fac0aaead
TNT Sports 2,http://smt.iktv.ddns-ip.net/Smart.php?id=d9a76a79cc
TNT Sports 3,http://smt.iktv.ddns-ip.net/Smart.php?id=5fea4d73db
TNT Sports 4,http://smt.iktv.ddns-ip.net/Smart.php?id=tntsport4
Sony Ten 1,http://smt.iktv.ddns-ip.net/Smart.php?id=ten1_raj
Sony Ten 2,http://smt.iktv.ddns-ip.net/Smart.php?id=ten2_raj
Sony Ten 3,http://smt.iktv.ddns-ip.net/Smart.php?id=ten3_raj
SPOTV 1 HD,http://smt.iktv.ddns-ip.net/Smart.php?id=go_spotv
SPO TV 2,http://smt.iktv.ddns-ip.net/Smart.php?id=go_spotv2
Skysports F1,http://smt.iktv.ddns-ip.net/Smart.php?id=tiankongf1
Skysports Cricket,http://smt.iktv.ddns-ip.net/Smart.php?id=tiankongcricket
Skysports EPL,http://smt.iktv.ddns-ip.net/Smart.php?id=tiankongepl
Skysports Main Event,http://smt.iktv.ddns-ip.net/Smart.php?id=tiankongmain
Skysports News,http://smt.iktv.ddns-ip.net/Smart.php?id=tiankongnews
Skysports Mix,http://smt.iktv.ddns-ip.net/Smart.php?id=tiankongmix
CCTV-5 体育频道,http://smt.iktv.ddns-ip.net/Smart.php?id=cctv5
CCTV-5+ 体育赛事 HD,http://smt.iktv.ddns-ip.net/Smart.php?id=cctv5plus
爱尔达体育2台,http://smt.iktv.ddns-ip.net/Smart.php?id=eltasport2_twn
爱尔达体育3台,http://smt.iktv.ddns-ip.net/Smart.php?id=eltasport3_twn
Rugby Pass TV,http://smt.iktv.ddns-ip.net/Smart.php?id=Rugbypasstv
RTM Sports HD,http://smt.iktv.ddns-ip.net/Smart.php?id=Rtmsport
Arena,http://smt.iktv.ddns-ip.net/Smart.php?id=Arena
Arena 2,http://smt.iktv.ddns-ip.net/Smart.php?id=Arena2
BolaArena 1,http://smt.iktv.ddns-ip.net/Smart.php?id=Bolaarena1
BolaArena 2,http://smt.iktv.ddns-ip.net/Smart.php?id=Bolaarena2
Beinsports 1,http://smt.iktv.ddns-ip.net/Smart.php?id=Astrobein1
Beinsports 2,http://smt.iktv.ddns-ip.net/Smart.php?id=Astrobein2
Beinsports 3,http://smt.iktv.ddns-ip.net/Smart.php?id=Astrobein3
